,club_id,club full name,club name
0,281,Manchester City,Man City
1,631,Chelsea FC,Chelsea
2,9250,Chelsea FC U21,Chelsea U21
3,11,Arsenal FC,Arsenal
4,31,Liverpool FC,Liverpool
5,985,Manchester United,Man Utd
6,148,Tottenham Hotspur,Tottenham
7,762,Newcastle United,Newcastle
8,379,West Ham United,West Ham
9,1003,Leicester City,Leicester
10,405,Aston Villa,Aston Villa
11,543,Wolverhampton Wanderers,Wolves
12,180,Southampton FC,Southampton
13,1237,Brighton & Hove Albion,Brighton
14,29,Everton FC,Everton
15,703,Nottingham Forest,Nottm Forest
16,1148,Brentford FC,Brentford
17,399,Leeds United,Leeds
18,873,Crystal Palace,Crystal Palace
19,931,Fulham FC,Fulham
20,989,AFC Bournemouth,Bournemouth
21,27,Bayern Munich,Bayern Munich
22,16,Borussia Dortmund,Bor. Dortmund
23,17,Borussia Dortmund II,B. Dortmund II
24,23826,RB Leipzig,RB Leipzig
25,26621,RasenBallsport Leipzig U19,RB Leipzig U19
26,32942,RasenBallsport Leipzig U17,RB Leipzig U17
27,15,Bayer 04 Leverkusen,B. Leverkusen
28,24,Eintracht Frankfurt,E. Frankfurt
29,177,Eintracht Frankfurt II,E. Frankfurt II
30,18,Borussia Mönchengladbach,Bor. M'gladbach
31,82,VfL Wolfsburg,VfL Wolfsburg
32,60,SC Freiburg,SC Freiburg
33,533,TSG 1899 Hoffenheim,TSG Hoffenheim
34,89,1.FC Union Berlin,Union Berlin
35,167,FC Augsburg,FC Augsburg
36,4780,FC Augsburg U19,FC Augsburg U19
37,79,VfB Stuttgart,VfB Stuttgart
38,2517,VfB Stuttgart U19,Stuttgart U19
39,39,1.FSV Mainz 05,1.FSV Mainz 05
40,3,1.FC Köln,1.FC Köln
41,438,1.FC Köln II,1.FC Köln II
42,1461,1.FC Köln U19,1.FC Köln U19
43,44,Hertha BSC,Hertha BSC
44,45,Hertha BSC II,Hertha BSC II
45,2827,Hertha BSC U19,Hertha BSC U19
46,86,SV Werder Bremen,Werder Bremen
47,2491,SV Werder Bremen U19,W. Bremen U19
48,87,SV Werder Bremen II,W. Bremen II
49,33,FC Schalke 04,FC Schalke 04
50,80,VfL Bochum,VfL Bochum
51,583,Paris Saint-Germain,Paris SG
52,8512,Paris Saint-Germain B,Paris SG B
53,6326,Paris Saint-Germain U19,Paris SG U19
54,162,AS Monaco,Monaco
55,9668,AS Monaco U21,Monaco U21
56,273,Stade Rennais FC,Rennes
57,244,Olympique Marseille,Marseille
58,8524,Olympique de Marseille B,Marseille B
59,417,OGC Nice,OGC Nice
60,8158,OGC Nice B,OGC Nice B
61,1041,Olympique Lyon,Olympique Lyon
62,1082,LOSC Lille,LOSC Lille
63,826,RC Lens,Lens
64,8152,RC Lens B,RC Lens B
65,995,FC Nantes,FC Nantes
66,969,Montpellier HSC,Montpellier
67,667,RC Strasbourg Alsace,R. Strasbourg
68,7968,Racing Strasbourg B,R. Strasbourg B
69,1421,Stade Reims,Stade Reims
70,11204,Stade Reims B,Stade Reims B
71,1158,FC Lorient,FC Lorient
72,16662,FC Lorient B,Lorient B
73,415,FC Toulouse,Toulouse
74,1095,ESTAC Troyes,Troyes
75,3911,Stade Brestois 29,Stade Brestois
76,1420,Angers SCO,Angers SCO
77,16672,Angers SCO B,Angers SCO B
78,290,AJ Auxerre,AJ Auxerre
79,3524,Clermont Foot 63,Clermont Foot
80,1147,AC Ajaccio,AC Ajaccio
81,6195,SSC Napoli,SSC Napoli
82,5,AC Milan,AC Milan
83,46,Inter Milan,Inter
84,506,Juventus FC,Juventus
85,800,Atalanta BC,Atalanta BC
86,12,AS Roma,AS Roma
87,398,SS Lazio,Lazio
88,430,ACF Fiorentina,Fiorentina
89,6574,US Sassuolo,Sassuolo
90,416,Torino FC,Torino
91,410,Udinese Calcio,Udinese Calcio
92,1025,Bologna FC 1909,Bologna
93,2919,AC Monza,Monza
94,749,FC Empoli,FC Empoli
95,380,US Salernitana 1919,Salernitana
96,1005,US Lecce,Lecce
97,3522,Spezia Calcio,Spezia Calcio
98,276,Hellas Verona,Hellas Verona
99,1038,UC Sampdoria,Sampdoria
100,2239,US Cremonese,Cremonese
